6in4 - 24-1
kmod-lib-crc7 - 4.4.60-1
kmod-lib-lzo - 4.4.60-1
kmod-lib-raid6 - 4.4.60-1
kmod-lib-textsearch - 4.4.60-1
kmod-lib-xor - 4.4.60-1
kmod-lib-zlib-deflate - 4.4.60-1
kmod-lib-zlib-inflate - 4.4.60-1
kmod-libphy - 4.4.60-1
kmod-llc - 4.4.60-1
kmod-loop - 4.4.60-1
kmod-lp - 4.4.60-1
kmod-macvlan - 4.4.60-1
kmod-md-mod - 4.4.60-1
kmod-md-raid0 - 4.4.60-1
kmod-md-raid1 - 4.4.60-1
kmod-md-raid10 - 4.4.60-1
kmod-mhitest_mod - 4.4.60+1-1
kmod-mii - 4.4.60-1
kmod-mmc - 4.4.60-1
kmod-mmc-spi - 4.4.60-1
kmod-mppe - 4.4.60-1
kmod-msm-mproc - 4.4.60+1-1
kmod-nat46 - 4.4.60+6-1
kmod-nf-conntrack - 4.4.60-1
kmod-nf-conntrack-netlink - 4.4.60-1
kmod-nf-conntrack6 - 4.4.60-1
kmod-nf-ipt - 4.4.60-1
kmod-nf-ipt6 - 4.4.60-1
kmod-nf-ipvs - 4.4.60-1
kmod-nf-nat - 4.4.60-1
kmod-nf-nat6 - 4.4.60-1
kmod-nf-nathelper - 4.4.60-1
kmod-nf-nathelper-extra - 4.4.60-1
kmod-nf-reject - 4.4.60-1
kmod-nf-reject6 - 4.4.60-1
kmod-nf-socket - 4.4.60-1
kmod-nf-tproxy - 4.4.60-1
kmod-nfnetlink - 4.4.60-1
kmod-nfnetlink-log - 4.4.60-1
kmod-nfnetlink-queue - 4.4.60-1
kmod-nft-bridge - 4.4.60-1
kmod-nft-core - 4.4.60-1
kmod-nft-nat - 4.4.60-1
kmod-nft-nat6 - 4.4.60-1
kmod-nft-netdev - 4.4.60-1
kmod-nls-base - 4.4.60-1
kmod-nls-cp437 - 4.4.60-1
kmod-nls-iso8859-1 - 4.4.60-1
kmod-nls-utf8 - 4.4.60-1
kmod-nss-ifb - 4.4.60-1
kmod-ppp - 4.4.60-1
kmod-ppp-synctty - 4.4.60-1
kmod-pppoa - 4.4.60-1
kmod-pppoe - 4.4.60-1
kmod-pppol2tp - 4.4.60-1
kmod-pppox - 4.4.60-1
kmod-pptp - 4.4.60-1
kmod-qca-hyfi-bridge - 4.4.60+11.5-1
kmod-qca-mcs - 4.4.60+11.5-1
kmod-qca-nss-cfi-cryptoapi - 4.4.60+11.5-2
kmod-qca-nss-crypto - 4.4.60+11.5-1
kmod-qca-nss-dp - 4.4.60+11.5-1
kmod-qca-nss-drv - 4.4.60+11.5-2
kmod-qca-nss-drv-bridge-mgr - 4.4.60+11.5-2
kmod-qca-nss-drv-gre - 4.4.60+11.5-2
kmod-qca-nss-drv-igs - 4.4.60+11.5-2
kmod-qca-nss-drv-lag-mgr - 4.4.60+11.5-2
kmod-qca-nss-drv-map-t - 4.4.60+11.5-2
kmod-qca-nss-drv-match - 4.4.60+11.5-2
kmod-qca-nss-drv-mirror - 4.4.60+11.5-2
kmod-qca-nss-drv-ovpn-link - 4.4.60+11.5-2
kmod-qca-nss-drv-ovpn-mgr - 4.4.60+11.5-2
kmod-qca-nss-drv-pppoe - 4.4.60+11.5-2
kmod-qca-nss-drv-pptp - 4.4.60+11.5-2
kmod-qca-nss-drv-qdisc - 4.4.60+11.5-2
kmod-qca-nss-drv-tun6rd - 4.4.60+11.5-2
kmod-qca-nss-drv-tunipip6 - 4.4.60+11.5-2
kmod-qca-nss-drv-vlan-mgr - 4.4.60+11.5-2
kmod-qca-nss-ecm-premium - 4.4.60+11.5-6
kmod-qca-nss-macsec - 4.4.60+11.5-1
kmod-qca-ssdk-nohnat - 4.4.60+11.5-3
kmod-qca-wifi-unified-profile - 4.4.60+11.5-2
kmod-qmi_sample_client - 4.4.60+1-1
kmod-qseecom - 4.4.60+1-1
kmod-random-core - 4.4.60-1
kmod-regmap - 4.4.60-1
kmod-sched - 4.4.60-1
kmod-sched-cake - 4.4.60+2019-03-12-057c7388-1
kmod-sched-connmark - 4.4.60-1
kmod-sched-core - 4.4.60-1
kmod-scsi-cdrom - 4.4.60-1
kmod-scsi-core - 4.4.60-1
kmod-scsi-generic - 4.4.60-1
kmod-scsi-tape - 4.4.60-1
kmod-sctp - 4.4.60-1
kmod-shortcut-fe - 4.4.60+11.5-1
kmod-shortcut-fe-cm - 4.4.60+11.5-1
kmod-shortcut-fe-drv - 4.4.60+11.5-1
kmod-sit - 4.4.60-1
kmod-slhc - 4.4.60-1
kmod-slip - 4.4.60-1
kmod-sound-core - 4.4.60-1
kmod-spi-bitbang - 4.4.60-1
kmod-spi-gpio - 4.4.60-1
kmod-stp - 4.4.60-1
kmod-swconfig - 4.4.60-1
kmod-tun - 4.4.60-1
kmod-udptunnel4 - 4.4.60-1
kmod-udptunnel6 - 4.4.60-1
kmod-usb-audio - 4.4.60-1
kmod-usb-core - 4.4.60-1
kmod-usb-dwc2 - 4.4.60-1
kmod-usb-dwc3 - 4.4.60-1
kmod-usb-dwc3-qcom - 4.4.60-1
kmod-usb-hid - 4.4.60-1
kmod-usb-net - 4.4.60-1
kmod-usb-net-asix-ax88179 - 4.4.60-1
kmod-usb-net-cdc-ether - 4.4.60-1
kmod-usb-net-ipheth - 4.4.60-1
kmod-usb-net-qmi-wwan - 4.4.60-1
kmod-usb-net-rndis - 4.4.60-1
kmod-usb-net-rtl8152-vendor - 4.4.60+2.16.3-4-ipq60xx-3
kmod-usb-ohci - 4.4.60-1
kmod-usb-ohci-pci - 4.4.60-1
kmod-usb-phy-ipq807x - 4.4.60+1-1
kmod-usb-printer - 4.4.60-1
kmod-usb-storage - 4.4.60-1
kmod-usb-storage-extras - 4.4.60-1
kmod-usb-storage-uas - 4.4.60-1
kmod-usb-uhci - 4.4.60-1
kmod-usb-wdm - 4.4.60-1
kmod-usb2 - 4.4.60-1
kmod-usb2-pci - 4.4.60-1
kmod-usb3 - 4.4.60-1
kmod-veth - 4.4.60-1
kmod-vxlan - 4.4.60-1
kmod-wireguard - 4.4.60+1.0.20210606-2
lacpd - 11.5-1
lede-keyring - 2017-01-20-a50b7529-1
libaio - 0.3.112-1
libatomic1 - 7.5.0-2
libattr - 20170915-1
libblkid1 - 2.37-2
libblobmsg-json - 2020-05-25-66195aee-1
libbpf0 - 5.10.10-2
libbz2-1.0 - 1.0.8-1
libc - 1.1.24-2
libcap - 2.43-1
libcap-bin - 2.43-1
libcares - 1.14.0-1
libcomerr0 - 1.46.5-1
libcurl4 - 8.0.1-1
libdb47 - 4.7.25.4.NC-5
libdevmapper - 2.02.177-1
libelf1 - 0.180-1
libev - 4.22-1
libevent2-7 - 2.1.12-1
libevent2-core7 - 2.1.12-1
libevent2-pthreads7 - 2.1.12-1
libext2fs2 - 1.46.5-1
libf2fs6 - 1.12.0-3
libfdisk1 - 2.37-2
libfuse - 2.9.7-1
libgcc1 - 7.5.0-2
libgmp - 6.1.2-1
libhyficommon - 11.5-1
libiconv-full - 1.11.1-3
libimobiledevice - 1.2.1-2
libintl-full8 - 0.19.8.1-2
libip4tc - 1.4.21-10
libip6tc - 1.4.21-10
libipset13 - 7.3-1
libiw - 29-5
libiwinfo-lua - 2018-12-25-dd508af4
libiwinfodd508af4 - 2018-12-25-dd508af4
libjson-c5 - 0.15-1
libjson-script - 2020-05-25-66195aee-1
libltdl7 - 2.4.6-2
liblua - 5.1.5-1
liblzma - 5.2.4-1
liblzo2 - 2.10-4
libmbedtls12 - 2.28.0-7
libminiupnpc - 2.0.20170509-1
libmnl0 - 1.0.4-1
libmount1 - 2.37-2
libnatpmp - 20150609-1
libncurses6 - 6.1-5
libnetfilter-conntrack - 1.0.6-1
libnetfilter-cthelper - 1.0.0-1
libnetfilter-cttimeout - 1.0.0-1
libnetfilter-queue1 - 1.0.5-4
libnettle - 3.3-1
libnfnetlink - 1.0.1-1
libnftnl12 - 1.1.7-2
libnl-core200 - 3.2.21-2
libnl-genl200 - 3.2.21-2
libnl-nf200 - 3.2.21-2
libnl-route200 - 3.2.21-2
libnl-tiny2022-05-17 - 2020-08-05-c291088f-2
libnl200 - 3.2.21-2
libopenssl-conf - 1.1.1o-1
libopenssl1.1 - 1.1.1o-1
libpcre - 8.41-2
libpcre2-16 - 10.30-1
libplist - 2.0.0-3
libpopt0 - 1.16-2
libpthread - 1.1.24-2
libreadline8 - 8.0-1
libroxml - 2.3.0-2
librt - 1.1.24-2
libruby3.1 - 3.1.3-1
libsmartcols1 - 2.37-2
libsodium - 1.0.16-1
libss2 - 1.46.5-1
libstdcpp6 - 7.5.0-2
libsysfs - 2.1.0-2
libtirpc - 1.2.6-2
libubox-lua - 2020-05-25-66195aee-1
libubox20191228 - 2020-05-25-66195aee-1
libubus-lua - 2022-02-21-b32a0e17-1
libubus20210603 - 2022-02-21-b32a0e17-1
libuci - 2018-08-11-1
libuci-lua - 2018-08-11-1
libuclient20201210 - 2021-05-14-6a6011df-1
libudns - 0.4-1
libusb-1.0-0 - 1.0.24-2
libusb-compat - 0.1.4-2
libusbmuxd - 1.1.0-2
libustream-openssl20201210 - 2022-01-16-868fd881-1
libuuid1 - 2.37-2
libuv1 - 1.41.1-4
libwebsockets-full - 2.4.1-2
libwifisoncfg - 11.5-1
libwpa2 - 11.5-1
libwrap - 7.6-1
libxml2 - 2.9.9-1
libxtables - 1.4.21-10
libyaml - 0.2.5-1
linkease - 1.5.9-aarch64-3
linkmount - 1.0.3-aarch64-2
linux-atm - 2.5.2-5
logd - 2018-12-18-876c7f5b-1
losetup - 2.37-2
lsblk - 2.37-2
lua - 5.1.5-1
lua-neturl - 1.1-1-3
luci - git-24.140.42554-88ca66e-1
luci-app-accesscontrol - 1-11
luci-app-adblock - git-24.140.42554-88ca66e-1
luci-app-arpbind - 1-2
luci-app-autoreboot - 1.0-8
luci-app-cpufreq - 1-7
luci-app-ddns - 2.4.9-8
luci-app-ddnsto - 3.0.4-0
luci-app-diskman - v0.2.11-2
luci-app-filetransfer - 1-2
luci-app-firewall - git-24.140.42554-88ca66e-1
luci-app-ipsec-server - git-24.140.42554-88ca66e-1
luci-app-linkease - 2.1.12-2
luci-app-msd_lite - 1-11
luci-app-openclash - 0.46.001-beta
luci-app-openvpn-server - 2.0-19
luci-app-qbittorrent-simple - 1.0.0-3
luci-app-quickstart - 0.8.13-1
luci-app-ramfree - 1.0-1
luci-app-samba - git-24.140.42554-88ca66e-1
luci-app-ssr-plus - 188-3
luci-app-store - 0.1.14-3
luci-app-ttyd - 1.0-3
luci-app-turboacc - git-24.140.42554-88ca66e-9
luci-app-upnp - git-24.140.42554-88ca66e-1
luci-app-usb-printer - 1.0-2
luci-app-vlmcsd - 1.0-5
luci-app-vsftpd - 1.0-3
luci-app-wireguard - git-24.140.42554-88ca66e-1
luci-app-wolplus - 1.0.2-1
luci-app-xupnpd - 1-9
luci-app-zerotier - 1.0-20
luci-base - git-24.140.42554-88ca66e-1
luci-compat - git-24.140.42554-88ca66e-1
luci-i18n-accesscontrol-zh-cn - 1-11
luci-i18n-adblock-zh-cn - git-24.140.42554-88ca66e-1
luci-i18n-arpbind-zh-cn - 1-2
luci-i18n-autoreboot-zh-cn - 1.0-8
luci-i18n-base-en - git-24.140.42554-88ca66e-1
luci-i18n-base-zh-cn - git-24.140.42554-88ca66e-1
luci-i18n-bonding-en - git-24.140.42554-88ca66e-1
luci-i18n-cpufreq-zh-cn - 1-7
luci-i18n-ddns-en - 2.4.9-8
luci-i18n-ddns-zh-cn - 2.4.9-8
luci-i18n-ddnsto-zh-cn - 3.0.4-0
luci-i18n-diskman-zh-cn - v0.2.11-2
luci-i18n-filetransfer-zh-cn - 1-2
luci-i18n-firewall-en - git-24.140.42554-88ca66e-1
luci-i18n-firewall-zh-cn - git-24.140.42554-88ca66e-1
luci-i18n-ipsec-server-zh-cn - git-24.140.42554-88ca66e-1
luci-i18n-linkease-zh-cn - 2.1.12-2
luci-i18n-msd_lite-zh-cn - 1-11
luci-i18n-openvpn-server-zh-cn - 2.0-19
luci-i18n-qbittorrent-simple-zh-cn - 1.0.0-3
luci-i18n-quickstart-zh-cn - 0.8.13-1
luci-i18n-ramfree-zh-cn - 1.0-1
luci-i18n-samba-en - git-24.140.42554-88ca66e-1
luci-i18n-samba-zh-cn - git-24.140.42554-88ca66e-1
luci-i18n-ssr-plus-zh-cn - 188-3
luci-i18n-ttyd-zh-cn - 1.0-3
luci-i18n-turboacc-zh-cn - git-24.140.42554-88ca66e-9
luci-i18n-upnp-en - git-24.140.42554-88ca66e-1
luci-i18n-upnp-zh-cn - git-24.140.42554-88ca66e-1
luci-i18n-usb-printer-zh-cn - 1.0-2
luci-i18n-vlmcsd-zh-cn - 1.0-5
luci-i18n-vsftpd-zh-cn - 1.0-3
luci-i18n-wireguard-zh-cn - git-24.140.42554-88ca66e-1
luci-i18n-wolplus-zh-cn - 1.0.2-1
luci-i18n-xupnpd-zh-cn - 1-9
luci-i18n-zerotier-zh-cn - 1.0-20
luci-lib-docker - v0.3.4-1
luci-lib-fs - 1.0-1
luci-lib-ip - git-24.140.42554-88ca66e-1
luci-lib-ipkg - git-24.140.42554-88ca66e-1
luci-lib-jsonc - git-24.140.42554-88ca66e-1
luci-lib-nixio - git-24.140.42554-88ca66e-1
luci-lib-taskd - 1.0.18
luci-lib-xterm - 4.18.0
luci-mod-admin-full - git-24.140.42554-88ca66e-1
luci-proto-bonding - git-24.140.42554-88ca66e-1
luci-proto-ipv6 - git-24.140.42554-88ca66e-1
luci-proto-ppp - git-24.140.42554-88ca66e-1
luci-proto-wireguard - git-24.140.42554-88ca66e-1
luci-theme-argon - 1.8.3-20230710
luci-theme-bootstrap - git-24.140.42554-88ca66e-1
map - 4-7
map-t - 6
mdadm - 4.1-2
microsocks - 1.0.2-2
miniupnpd - 2.0.20170421-3
mkf2fs - 1.12.0-3
mosdns - 5.3.1-1
mount-utils - 2.37-2
msd_lite - 1.11-1
mtd - 23.1
nand-utils - 2.1.1-1
netifd - 2021-01-09-753c351b-1
nfs-utils - 2.3.3-3
nftables - 0.9.0-2
ntfs3-mount - 6
odhcp6c - 2019-01-11-e199804b-16
odhcpd-ipv6only - 1.11-1
openssl-util - 1.1.1o-1
openvpn-easy-rsa - 3.0.4-1
openvpn-openssl - 2.4.6-3
opkg - 2021-01-31-c5dccea9-1
p910nd - 0.97-5
parted - 3.3-1
pdnsd-alt - 1.2.9b-par-3
ppp - 2.4.7.git-2019-05-25-3
ppp-mod-passwordfd - 2.4.7.git-2019-05-25-3
ppp-mod-pppoa - 2.4.7.git-2019-05-25-3
ppp-mod-pppoe - 2.4.7.git-2019-05-25-3
ppp-mod-pppol2tp - 2.4.7.git-2019-05-25-3
ppp-mod-pptp - 2.4.7.git-2019-05-25-3
ppp-mod-radius - 2.4.7.git-2019-05-25-3
pppdump - 2.4.7.git-2019-05-25-3
pppoe-discovery - 2.4.7.git-2019-05-25-3
pppstats - 2.4.7.git-2019-05-25-3
procd - 2019-05-30-ade00ca5-6
proto-bonding - 2020-03-30-1
qbittorrent - 4.4.2-1
qca-acfg - 11.5-1
qca-cfg80211 - 11.5-1
qca-cfg80211tool - 11.5-1
qca-diag - 11.5-1
qca-hostap - 11.5-1
qca-hostapd-cli - 11.5-1
qca-iface-mgr-10.4 - 11.5-1
qca-nss-fw-cp-retail - 7-1
qca-nss-fw-eip-cp - 2.8.1-1
qca-qrtr - 11.5-1
qca-son-cli - 11.5-1
qca-son-mem-debug - 11.5-1
qca-spectral - 11.5-1
qca-ssdk-shell - 11.5-1
qca-wifi-cyp-fw-hw1-11.0-asic - IPQ6018-WLAN.HK.2.5.r4-00683-QCAHKSWPL_SILICONZ-1-1
qca-wifi-scripts - 1
qca-wifison-ext-lib - 11.5-1
qca-wpa-cli - 11.5-1
qca-wpa-supplicant - 11.5-1
qcmbr-10.4-netlink - 11.5-1
qt5-core - 5.15.3-1
qt5-network - 5.15.3-1
qt5-sql - 5.15.3-1
qt5-xml - 5.15.3-1
quickstart - 0.8.14-1
rblibtorrent - 1.2.16-1
relayd - 2020-04-25-f4d759be-1
resolveip - 2
rpcd - 2018-11-28-3aa81d0d-1
rpcd-mod-rrdns - 20170710
rstp - 2011-10-11-434d24bae108dbb21461a13a4abcf014afa8b029
ruby - 3.1.3-1
ruby-bigdecimal - 3.1.3-1
ruby-date - 3.1.3-1
ruby-digest - 3.1.3-1
ruby-enc - 3.1.3-1
ruby-forwardable - 3.1.3-1
ruby-pstore - 3.1.3-1
ruby-psych - 3.1.3-1
ruby-stringio - 3.1.3-1
ruby-strscan - 3.1.3-1
ruby-yaml - 3.1.3-1
samba36-server - 4.0.26-8
script-utils - 2.37-2
shadow - 4.2.1-8
shadow-chage - 4.2.1-8
shadow-chfn - 4.2.1-8
shadow-chpasswd - 4.2.1-8
shadow-chsh - 4.2.1-8
shadow-common - 4.2.1-8
shadow-expiry - 4.2.1-8
shadow-faillog - 4.2.1-8
shadow-gpasswd - 4.2.1-8
shadow-groupadd - 4.2.1-8
shadow-groupdel - 4.2.1-8
shadow-groupmems - 4.2.1-8
shadow-groupmod - 4.2.1-8
shadow-groups - 4.2.1-8
shadow-lastlog - 4.2.1-8
shadow-login - 4.2.1-8
shadow-newgidmap - 4.2.1-8
shadow-newgrp - 4.2.1-8
shadow-newuidmap - 4.2.1-8
shadow-nologin - 4.2.1-8
shadow-passwd - 4.2.1-8
shadow-su - 4.2.1-8
shadow-useradd - 4.2.1-8
shadow-userdel - 4.2.1-8
shadow-usermod - 4.2.1-8
shadow-utils - 4.2.1-8
shadow-vipw - 4.2.1-8
shadowsocks-rust-sslocal - 1.17.1-1
shadowsocksr-libev-ssr-check - 2.5.6-9
shadowsocksr-libev-ssr-local - 2.5.6-9
shadowsocksr-libev-ssr-redir - 2.5.6-9
shadowsocksr-libev-ssr-server - 2.5.6-9
shellsync - 0.2-1
simple-obfs-client - 0.0.5-1
smartd - 6.6-1
smartmontools - 6.6-1
squashfs4 - 4.2
strongswan - 5.6.3-3
strongswan-charon - 5.6.3-3
strongswan-ipsec - 5.6.3-3
strongswan-minimal - 5.6.3-3
strongswan-mod-aes - 5.6.3-3
strongswan-mod-gmp - 5.6.3-3
strongswan-mod-hmac - 5.6.3-3
strongswan-mod-kernel-libipsec - 5.6.3-3
strongswan-mod-kernel-netlink - 5.6.3-3
strongswan-mod-nonce - 5.6.3-3
strongswan-mod-openssl - 5.6.3-3
strongswan-mod-pubkey - 5.6.3-3
strongswan-mod-random - 5.6.3-3
strongswan-mod-sha1 - 5.6.3-3
strongswan-mod-socket-default - 5.6.3-3
strongswan-mod-stroke - 5.6.3-3
strongswan-mod-updown - 5.6.3-3
strongswan-mod-x509 - 5.6.3-3
strongswan-mod-xauth-generic - 5.6.3-3
strongswan-mod-xcbc - 5.6.3-3
swap-utils - 2.37-2
swconfig - 12
sysfsutils - 2.1.0-2
tar - 1.32-1
taskd - 1.0.3-1
tcping - 0.3-1
terminfo - 6.1-5
tini - 0.19.0-2
ttyd - 1.6.3-3
ubi-utils - 2.1.1-1
uboot-envtools - 2020.04-1
